[2025-08-12 16:54:12] Mission: "test" | Bag Directory: rosbag_0812_165412
[2025-08-12 16:55:50] Mission: "test" | Bag Directory: rosbag_0812_165550
[2025-08-12 16:57:29] Mission: "test" | Bag Directory: rosbag_0812_165729
[2025-08-12 17:03:29] Mission: "test" | Bag Directory: rosbag_0812_170329
[2025-08-12 17:12:35] Mission: "test" | Bag Directory: rosbag_0812_171235
[2025-08-12 17:13:45] Mission: "test" | Bag Directory: rosbag_0812_171345
[2025-08-12 17:21:08] Mission: "test" | Bag Directory: rosbag_0812_172108
[2025-08-12 17:26:19] Mission: "test" | Bag Directory: rosbag_0812_172619
[2025-08-12 17:47:32] Mission: "test" | Bag Directory: rosbag_0812_174732
[2025-08-12 17:49:03] Mission: "test" | Bag Directory: rosbag_0812_174903
[2025-08-12 18:02:43] Mission: "test" | Bag Directory: rosbag_0812_180243
[2025-08-12 18:04:25] Mission: "test" | Bag Directory: rosbag_0812_180425
[2025-08-12 18:19:23] Mission: "test" | Bag Directory: rosbag_0812_181923
[2025-08-12 18:21:45] Mission: "test" | Bag Directory: rosbag_0812_182145
[2025-08-12 19:14:30] Mission: "test" | Bag Directory: rosbag_0812_191430
[2025-08-12 19:17:13] Mission: "test" | Bag Directory: rosbag_0812_191713
[2025-08-12 19:19:04] Mission: "test" | Bag Directory: rosbag_0812_191904
[2025-08-12 19:32:10] Mission: "test" | Bag Directory: rosbag_0812_193210
[2025-09-03 16:21:55] Mission: "test" | Bag Directory: rosbag_0903_162155
[2025-09-03 16:23:39] Mission: "test" | Bag Directory: rosbag_0903_162339
[2025-09-03 16:25:22] Mission: "test" | Bag Directory: rosbag_0903_162522
[2025-09-03 16:53:49] Mission: "br_test" | Bag Directory: rosbag_0903_165349
[2025-09-03 16:55:32] Mission: "br_test" | Bag Directory: rosbag_0903_165532
[2025-09-03 16:57:51] Mission: "br_test" | Bag Directory: rosbag_0903_165751
[2025-09-03 17:01:12] Mission: "br_test" | Bag Directory: rosbag_0903_170112
[2025-09-03 17:03:48] Mission: "br_test" | Bag Directory: rosbag_0903_170348
[2025-09-04 16:55:17] Mission: "br_test" | Bag Directory: rosbag_0904_165517
[2025-09-04 16:56:37] Mission: "br_test" | Bag Directory: rosbag_0904_165637
[2025-09-04 17:01:38] Mission: "br_test" | Bag Directory: rosbag_0904_170138
[2025-09-04 17:04:13] Mission: "br_test" | Bag Directory: rosbag_0904_170413
[2025-09-04 17:07:34] Mission: "br_test" | Bag Directory: rosbag_0904_170734
